керамика, кераміка
желудок, шлунок
краткий, короткий
пообещать, пообіцяти
прогулка, прогулянка
миф, міф
экономический, економічний
финальный, фінальний
назвать, назвати
замковый, замковий
успевать, встигати
коллега, колега
ограничивать, обмежувати
вакансия, вакансія
конкурировать, конкурувати
башня, вежа
щенок, щеня
торт, торт
разойтись, розійтися
реалия, реалія
лизинг, лізинг
решётка, решітка
пульт, пульт
вуз, вуз
камень, камінь
добыча, здобич
считаться, вважатися
забить, забити
обитатель, мешканець
серебряный, срібний
химический, хімічний
серьёзный, серйозний
дёшево, дешево
поддержать, підтримати
стандарт, стандарт
пенсионный, пенсійний
убедить, переконати
инженер, інженер
озвучить, озвучити
инфраструктура, інфраструктура
математика, математика
абсолютный, абсолютний
божий, божий
молния, блискавка
рубрика, рубрика
сетка, сітка
интуитивно, інтуїтивно
локализация, локалізація
мелкий, невеликий
цунами, цунамі
выпускник, випускник
покинуть, покинути
въезд, в'їзд
граничить, межувати
грузинский, грузинський
привлекательность, привабливість
трейлер, трейлер
незаконный, незаконний
очевидный, очевидний
бесплатный, безкоштовний
вывести, вивести
бутылка, пляшка
принадлежащий, що належить
исходить, виходити
изобретение, винахід
дополнительный, додатковий
заказчик, замовник
художественный, художній
принцип, принцип
обрабатывать, обробляти
асфальт, асфальт
подача, подача
стиль, стиль
православный, православний
странный, дивний
симптом, симптом
диета, дієта
скриншот, скріншот
слух, слух
телеканал, телеканал
пересмотр, перегляд
гуманитарный, гуманітарний
комитет, комітет
пояснить, пояснити
эконом, економ
старший, старший
переселенец, переселенець
бывший, колишній
звук, звук
пережить, пережити
округ, округ
звучать, звучати
улучшаться, поліпшуватися
основываться, грунтуватися
посвятить, присвятити
отношение, відношення
достигнуть, досягти
висеть, висіти
разновидность, різновид
отображение, відображення
заказ, замовлення
сочетание, поєднання
неприятный, неприємний
коллегия, колегія
мусульманский, мусульманський
культурный, культурний
заменить, замінити
временный, тимчасовий
слабый, слабкий
стадия, стадія
заявлять, заявляти
юрист, юрист
исправление, виправлення
дистанция, дистанція
востребовать, затребувати
южный, південний
объектив, об'єктив
нижний, нижній
расследование, розслідування
девушка, дівчина
увлечение, захоплення
скульптура, скульптура
масштаб, масштаб
вечер, вечір
жуков, жуків
запрет, заборона
диплом, диплом
автодорога, автодорога
благотворительный, благодійний
стратегический, стратегічний
румынский, румунський
матрица, матриця
фундаментальный, фундаментальний
наметить, намітити
очко, очко
жалоба, скарга
бросить, кинути
привезти, привезти
обучаться, навчатися
располагаться, розташовуватися
проявляться, проявлятися
группировка, угруповання
каникулы, канікули
привлечь, залучити
дисциплина, дисципліна
превышение, перевищення
исключить, виключити
линза, лінза
палата, палата
мёртвый, мертвий
раскол, розкол
безработица, безробіття
дивиденд, дивіденд
миля, миля
пассажирский, пасажирський
последствие, наслідок
электрический, електричний
черта, риса
своеобразный, своєрідний
доказательство, доказ
ключ, ключ
нос, ніс
выполнение, виконання
технологический, технологічний
осудить, засудити
лицевой, лицьової
демонстрация, демонстрація
нить, нитка
нечего, нічого
возвращать, повертати
доверять, довіряти
предположить, припустити
отдыхать, відпочивати
пустынь, пустель
уменьшение, зменшення
объём, обсяг
правый, правий
заведение, заклад
северный, північний
единый, єдиний
функциональный, функціональний
простой, простий
закрытие, закриття
альтернатива, альтернатива
местоположение, місце розташування
обман, обман
консоль, консоль
избиратель, виборець
долг, борг
обзор, огляд
набрать, набрати
написание, написання
водка, горілка
неправительственный, неурядовий
нобелевский, нобелівський
удивить, здивувати
автономный, автономний
цент, цент
распад, розпад
автосалон, автосалон
лежать, лежати
комната, кімната
уголок, куточок
отдых, відпочинок
испытывать, відчувати
аптека, аптека
стакан, склянка
ознакомиться, ознайомитися
стопа, стопа
дядя, дядько
занять, зайняти
ассоциироваться, асоціюватися
базар, базар
источник, джерело
здание, будівля
книжный, книжковий
инженерный, інженерний
скрыться, сховатися
крайний, крайній
корреспондент, кореспондент
определённый, певний
отправлять, відправляти
фондовый, фондовий
показ, показ
уют, затишок
археолог, археолог
недостаточность, недостатність
комплектовать, комплектувати
показывать, показувати
купить, купити
замена, заміна
раскрывать, розкривати
месяц, місяць
обслуживание, обслуговування
руководить, керувати
объединить, об'єднати
чувствовать, відчувати
отпуск, відпустку
замок, замок
текущий, поточний
низкий, низький
королевство, королівство
восторг, захват
сказаться, позначитися
последовать, наслідувати
собака, собака
позитивный, позитивний
телевизор, телевізор
выходной, вихідний
ознакомительный, ознайомлювальний
наука, наука
специальность, спеціальність
постройка, споруда
клан, клан
положительный, позитивний
брат, брат
неприятно, неприємно
категория, категорія
завершить, завершити
ждать, чекати
досуг, дозвілля
желаемый, бажаний
хирург, хірург
поляк, поляк
забор, паркан
попасть, потрапити
форт, форт
учитель, учитель
доза, доза
заложить, закласти
претендовать, претендувати
голубой, блакитний
биологический, біологічний
безопасный, безпечний
покупатель, покупець
пограничник, прикордонник
середина, середина
мысленно, подумки
вытекать, витікати
гольф, гольф
уличный, вуличний
исследование, дослідження
разбирательство, розгляд
грех, гріх
депозит, депозит
вкусный, смачний
удивлять, дивувати
агент, агент
очищать, очищати
мощный, потужний
сохранить, зберегти
объявить, оголосити
налог, податок
конкурент, конкурент
скорый, швидкий
протяжённость, протяжність
руль, кермо
товарооборот, товарооборот
линейка, лінійка
рак, рак
повторять, повторювати
целевой, цільової
сборник, збірник
процедура, процедура
сообщество, співтовариство
скрываться, ховатися
самолёт, літак
появляться, з'являтися
суверенитет, суверенітет
необычный, незвичайний
получаться, виходити
обращать, звертати
грузин, грузин
выполнить, виконати
дневный, денний
парламентский, парламентський
начальник, начальник
различать, розрізняти
сражаться, битися
книжка, книжка
забывать, забувати
запасный, запасний
спасатель, рятувальник
разумно, розумно
привлекательный, привабливий
финансирование, фінансування
долина, долина
департамент, департамент
акция, акція
обязательство, зобов'язання
подчиняться, підкорятися
усилие, зусилля
заключить, укласти
приднестровский, придністровський
инспекция, інспекція
консультант, консультант
коммунальный, комунальний
демонстрировать, демонструвати
измениться, змінитися
наблюдаться, спостерігатися
культ, культ
недоверие, недовіру
благословение, благословення
находиться, перебувати
описание, опис
прозрачность, прозорість
вакцина, вакцина
грозный, грізний
облигация, облігація
подняться, піднятися
фанат, фанат
грипп, грип
портфель, портфель
повысить, підвищити
проникнуть, проникнути
определить, визначити
след, слід
обвиняться, звинувачуватися
дева, діва
надежда, надія
концерт, концерт
уникальный, унікальний
облако, хмара
натуральный, натуральний
сестра, сестра
живот, живіт
годовщина, річниця
профилактика, профілактика
преобразование, перетворення
солнечный, сонячний
железнодорожный, залізничний
полуфинал, півфінал
рыночный, ринковий
качество, якість
рабочий, робочий
опасаться, побоюватися
весенний, весняний
образец, зразок
представить, уявити
таблетка, таблетка
вернуть, повернути
занимать, займати
помогать, допомагати
конь, кінь
далёкий, далекий
заявить, заявити
декларация, декларація
рисунок, малюнок
выпустить, випустити
риск, ризик
калория, калорія
модный, модний
интересоваться, цікавитися
казнь, кара
всемирный, всесвітній
сердце, серце
рюкзак, рюкзак
подход, підхід
упоминание, згадка
испортить, зіпсувати
воевать, воювати
иммунитет, імунітет
измерение, вимір
узнавать, дізнаватися
шоколад, шоколад
извлечь, витягти
начинать, починати
лесной, лісової
проводы, проводи
знакомиться, знайомитися
собрать, зібрати
река, річка
трибуна, трибуна
удобство, зручність
вылет, виліт
внести, внести
тысяча, тисяча
конкурентоспособность, конкурентоспроможність
юный, юний
обозначать, позначати
обусловить, обумовити
воздержаться, утриматися
тяжёлый, важкий
