лошадка, конячка
померкнуть, потьмяніти
ливень, злива
туалетный, туалетний
cбор, збір
сформированность, сформованість
многоцветный, багатобарвний
монопроизводственный, моновиробничий
кровнородственный, кровноспоріднений
внимательный, уважний
безубыточный, беззбитковий
катаракта, катаракта
экстренный, екстрений
аукционист, аукціоніст
религия, релігія
сертифицировать, сертифікувати
дренажный, дренажний
безвозвратный, безповоротний
перепелица, перепелиця
поисковик, пошуковик
согласно, згідно
стабилизировать, стабілізувати
антитеррористический, антитерористичний
индюшиный, індичий
кирпичный, цегляний
однополосный, односмуговий
воздухораспределительный, повітрярозподільний
вязать, в'язати
полировать, полірувати
восстанавливать, відновлювати
патологоанатом, патологоанатом
внутримуниципальный, внутрішньомуніципальний
мороз, мороз
горнолыжный, гірськолижний
суицидальный, суїцидальний
обильность, рясність
грузооборот, вантажообіг
воспитательница, вихователька
застарелый, застарілий
киносъёмочный, кінознімальний
затруднять, ускладнювати
мошенничество, шахрайство
бюстгальтер, бюстгальтер
миролюбие, миролюбність
безбрачный, безшлюбний
выпадать, випадати
молокопродукты, молокопродукти
бриллиантовый, діамантовий
реструктурировать, реструктурувати
аллергологический, алергологічний
соглашение, угода
асфальтобетоносмесительный, асфальтобетонозмішувальний
картинка, картинка
балансир, балансир
безбарьерность, безбар'єрність
торжественно, урочисто
затихнуть, затихнути
термометр, термометр
единоборство, єдиноборство
помогать, допомагати
верёвочный, мотузковий
монастырный, монастирний
внутризаводский, внутрізаводський
гидрометаллургический, гідрометалургійний
выверить, вивірити
тротуар, тротуар
бильярдный, більярдний
травмобезопасный, травмобезпечний
главарь, ватажок
видеоэндоскопия, відеоендоскопія
влагостойкий, вологостійкий
внутрифирменный, внутрішньофірмовий
взаиморасположение, взаєморозташування
пешеход, пішохід
мочегонный, сечогінний
лесопереработка, лісопереробка
киноаудитория, кіноаудиторія
зрительный, зоровий
выселять, виселяти
гроссмейстерский, гросмейстерський
встречать, зустрічати
древнерусский, давньоруський
cpeдний, середній
музыкант, музикант
уточнять, уточнювати
термоиндикатор, термоіндикатор
полемизировать, полемізувати
яйцепродукты, яйцепродукти
согласующий, узгоджувальний
паразитология, паразитологія
молекулярнобиологический, молекулярнобіологічний
гастрономический, гастрономічний
гипсоволокнистый, гіпсоволокнистий
контур, контур
базальтовый, базальтовий
подгорание, підгоряння
молекулярный, молекулярний
двурогий, дворогий
внушать, вселяти
выкорчёвка, викорчування
монтажный, монтажний
возвышенность, підвищення
громадный, величезний
распыление, розпорошення
интерьер, інтер'єр
высокоактивный, високоактивний
закупочный, закупівельний
рыбалка, рибалка
панкреатический, панкреатичний
апеллировать, апелювати
упругий, пружний
реставрационный, реставраційний
переоформить, переоформити
матричный, матричний
криптографический, криптографічний
полушерстяной, напіввовняний
депортамент, депортамент
генерал, генерал
пеликан, пелікан
мощностный, потужний
подшить, підшити
богачка, багачка
чугунный, чавунний
апробационный, апробаційні
дискриминировать, дискримінувати
украшение, прикраса
теплоэнергия, теплоенергія
алгоритмический, алгоритмічний
мононуклеоз, мононуклеоз
атрибутивный, атрибутивний
эндокринологический, ендокринологічний
патрульный, патрульний
командовать, командувати
перемерзать, перемерзати
морозильник, морозильник
видеоконференционный, відеоконференційний
графичеcкий, графічний
глазировать, глазурувати
аутентифицировать, аутентифікувати
горнодобывающий, гірничодобувний
полукомбинезон, напівкомбінезон
унифицировать, уніфікувати
глист, глист
мошеннический, шахрайський
peopганизация, peopганізація
тюльпан, тюльпан
фольклор, фольклор
замедляться, сповільнюватися
аудиостенографироваться, аудіостенографуватися
благодатный, благодатний
электростатический, електростатичний
каникулярный, канікулярний
водоочистительный, водоочисний
ходатайствовать, клопотати
гигантский, гігантський
коммуникационный, комунікаційний
безрукавка, безрукавка
взрывоопасность, вибухонебезпека
застрять, застрягти
общемашиностроительный, загальномашинобудівний
ненасыщенный, ненасичений
затруднительный, скрутний
форсировать, форсувати
льготополучатель, пільгоотримувач
заметка, замітка
чемодан, чемодан
вентиляционный, вентиляційний
соответствовать, відповідати
приватизационный, приватизаційний
платформенный, платформний
продуктовый, продуктовий
асфальтобетоноукладчик, асфальтобетоноукладач
наркозависимый, наркозалежний
воздухоохлаждающий, повітряохолоджуючий
латексный, латексний
мультифункциональный, мультифункціональний
капелька, крапелька
внутришкольный, внутрішкільний
видеоустановка, відеоустановка
птичий, пташиний
мясоптицекомбинат, м'ясоптахокомбінат
прибыльность, прибутковість
убыток, збиток
недосказанность, недомовленість
кристаллизационный, кристалізаційний
хромированный, хромований
встряхивание, струшування
моногидрохлорид, моногідрохлорид
оперуполномоченный, оперуповноважений
арестовать, заарештувати
первопроходец, першопроходець
творожный, творожний
сталь, сталь
нейрохирургический, нейрохірургічний
идеологический, ідеологічний
отражатель, відбивач
мотокросс, мотокрос
переадресовывать, переадресовувати
уместный, доречний
периферийный, периферійний
конфликтология, конфліктологія
траурный, траурний
антураж, антураж
информативный, інформативний
ультрафиолетовый, ультрафіолетовий
молитвенный, молитовний
будничный, буденний
крупномасштабный, великомасштабний
аудиоаппаратура, аудіоапаратура
акселерация, акселерація
велотуризм, велотуризм
укрупнение, укрупнення
выгружать, вивантажувати
аргументировать, аргументувати
морфологический, морфологічний
локализация, локалізація
законотворческий, законотворчий
арифметический, арифметичний
энергетический, енергетичний
градостроительный, містобудівний
новорожденный, новонароджений
недооценить, недооцінити
схожий, схожий
квалифицировать, кваліфікувати
алкоголесодержащий, алкоголевмісний
лошадиный, кінський
подтвердиться, підтвердитися
перемножение, перемноження
оживление, пожвавлення
общенациональный, загальнонаціональний
авансированный, авансований
подсушивать, підсушувати
фотоаппарат, фотоапарат
линейность, лінійність
монах, монах
артистический, артистичний
пасхальный, великодній
инсталляционный, інсталяційний
уксусный, оцтовий
высокоширотный, високоширотних
покорный, покірний
комплексообразующий, комплексоутворюючий
гидрометеоролотический, гідрометеорологічний
газокомпрессорный, газокомпресорний
мясомолочный, м'ясо-молочний
абсорбент, абсорбент
упадок, занепад
градостроение, містобудування
полукольцевой, напівкільцевий
мохнаторукий, мохнаторукий
климатконтроль, кліматконтроль
трейлер, трейлер
безучастный, байдужий
арабский, арабський
молекула, молекула
антибактериальный, антибактеріальний
возбуждать, порушувати
бесконфликтный, безконфліктний
кинофотодокумент, кінофотодокумент
длинноусый, довговусий
длиннотрубчатый, довготрубчастий
видеокассета, відеокасета
многочисленный, численний
анкетирование, анкетування
нефтеперегрузочный, нафтоперевантажувальний
переводческий, перекладацький
депрессия, депресія
бактериологический, бактеріологічний
многоснежный, багатосніжний
задокументировать, задокументувати
аминомасляный, аміномасляний
высокочастотный, високочастотний
пригнать, пригнати
удержать, утримати
кислотность, кислотність
вместилище, вмістилище
монолитность, монолітність
целостный, цілісний
щитовой, щитовий
плечевой, плечовий
диалогический, діалогічний
газоотводящий, газовідвідний
поликарбонатный, полікарбонатний
преподавательский, викладацький
cтруктура, структура
многоножка, багатоніжка
образцовый, зразковий
засекретить, засекретити
пенопластовый, пінопластовий
любитель, любитель
гипермаркет, гіпермаркет
морепродукция, морепродукція
президиум, президія
глубокозамороженный, глибокозаморожений
воспроизводиться, відтворюватися
переболеть, перехворіти
оленеводческий, оленярський
щелочной, лужний
восстановление, відновлення
двадцатипроцентный, двадцятивідсотковий
механизированый, механізований
субтропический, субтропічний
припарковать, припаркувати
граммофонный, грамофонний
чемпион, чемпіон
кардиоцентр, кардіоцентр
кухонный, кухонний
приукрашивать, прикрашати
грузозахватный, вантажозахватний
перпендикулярный, перпендикулярний
биопродукция, біопродукція
флюорографический, флюорографічний
преступный, злочинний
контрастный, контрастний
сценарный, сценарний
витамины, вітаміни
мототранспортный, мототранспортних
электродинамика, електродинаміка
угарный, чадний
покушение, замах
модуляторный, модуляторний
инкрустировать, інкрустувати
фармацевтический, фармацевтичний
включатель, вмикач
педиатрический, педіатричний
библиотековедение, бібліотекознавство
пожаробезопасный, пожежобезпечний
подростковый, підлітковий
аллергодиагностика, алергодіагностика
недоказанный, недоведений
султан, султан
договариваться, домовлятися
внутригаражный, внутрішньогаражний
высокобортный, високобортний
взаимосвязь, взаємозв'язок
послеродовой, післяпологовий
прелюдия, прелюдія
патриотический, патріотичний
общелечебный, загальнолікувальний
подкреплять, підкріплювати
пометить, позначити
бесконечный, нескінченний
взаимовлиять, взаємовпливати
священнослужитель, священнослужитель
медвежий, ведмежий
обезличить, знеособити
полустандартизировать, напівстандартизувати
лейкоцит, лейкоцит
дислокация, дислокація
пресноводный, прісноводний
диалоговый, діалоговий
взыскание, стягнення
байдарочный, байдарковий
директивный, директивний
обновить, оновити
внутривенно, внутрішньовенний
законсервировать, законсервувати
больница, лікарня
внутригосударственный, внутрішньодержавний
мужчина, чоловік
интеллигенция, інтелігенція
достоинство, гідність
водородосодержащий, водневмісний
оползень, зсув
квалифицироваться, кваліфікуватися
обороноспособность, обороноздатність
полувековой, піввіковий
недовольный, незадоволений
конъюнктурный, кон'юнктурний
агрессивный, агресивний
сбалансированный, збалансований
послушный, слухняний
конкретизировать, конкретизувати
ползучий, повзучий
вверить, довірити
геоморфологический, геоморфологічний
оплатить, оплатити
песчаный, піщаний
множественный, множинний
колосок, колосок
диагност, діагност
звукопроводящий, звукопровідний
двадцатилетие, двадцятиріччя
большевицкий, більшовицький
микрогранулированный, мікрогранульований
кардиологический, кардіологічний
двигательный, руховий
упражнение, вправа
общегрупповой, загальногруповий
правомерность, правомірність
переправа, переправа
ветеринар, ветеринар
пассажирка, пасажирка
бездушный, бездушний
электромагнитный, електромагнітний
прилипание, прилипання
индуктивный, індуктивний
исполняемый, виконуваний
полуостров, півострів
лесохозяйственный, лісогосподарський
оториноларинголог, оториноларинголог
колоритный, колоритний
патентообладатель, патентовласник
бакалейный, бакалійний
бетонопровод, бетонопровод
мощь, міць
засеять, засіяти
пирамида, піраміда
аэродинамический, аеродинамічний
бензоэлектрический, бензоелектричний
выбивать, вибивати
корешок, корінець
видеогастроскопический, відеогастроскопічний
корреспондентский, кореспондентський
монетарный, монетарний
гравий, гравій
двойник, двійник
впечатление, враження
демаркация, демаркація
эндокринный, ендокринний
генофонд, генофонд
фонограмма, фонограма
дворецкий, дворецький
таксономический, таксономічний
трафик, трафік
высокопроизводительный, високопродуктивний
видеоизображение, відеозображення
общеинтеллектуальный, загальноінтелектуальний
полиграф, поліграф
люлька, люлька
турбогенератор, турбогенератор
заметный, помітний
переупаковывание, перепакування
крестьянский, селянський
недоразумение, непорозуміння
отоларинголог, отоларинголог
оплодотворение, запліднення
конструироваться, конструюватися
динамичный, динамічний
гравитационный, гравітаційний
взаимодополняющий, взаємодоповнюючий
знаменательный, знаменний
цистерна, цистерна
аморфность, аморфність
приключенческий, пригодницький
гигроскопичный, гігроскопічний
последействие, післядія
тонкоребристый, тонкоребристий
понимать, розуміти
поясница, поперек
полумашинный, напівмашинний
вычеркнуть, викреслити
вдохновлять, надихати
водосборный, водозбірний
компостирование, компостування
бактерицидный, бактерицидний
электрохимия, електрохімія
вписываться, вписуватися
монтажёр, монтажер
aтомный, aтомний
тряпка, ганчірка
общекультурный, загальнокультурний
вольный, вільний
авиагоризонт, авіагоризонт
полумохнатый, напівмохнатий
верификация, верифікація
затапливать, затоплювати
аккумулировать, акумулювати
укроп, кріп
велоцентр, велоцентр
брикетированный, брикетований
энцефалит, енцефаліт
липовый, липовий
вяжущий, терпкий
банкетный, банкетний
кристаллографический, кристалографічний
асинхронизировать, асинхронізувати
травматический, травматичний
помиловать, помилувати
опушка, галявина
затронуть, торкнутися
банан, банан
укрепить, зміцнити
ацетохлор, ацетохлор
подключить, підключити
смычка, смичка
оборачиваться, обертатися
грамотный, грамотний
генерализация, генералізація
судопропускной, судопропускний
отстранить, відсторонити
опустошение, спустошення
археологический, археологічний
вирусолог, вірусолог
послевоенный, післявоєнний
полупрозрачный, напівпрозорий
мотоциклист, мотоцикліст
деформировать, деформувати
зафиксировать, зафіксувати
фотоплёнка, фотоплівка
гармонизироваться, гармонізуватись
артикулировать, артикулювати
визуализироваться, визуализироваться
топливопотребляющий, паливоспоживаючих
мятный, м'ятний
диаспора, діаспора
санкция, санкція
мусоросортировочный, сміттєсортувальний
аудиоконференция, аудіоконференція
предпринимательский, підприємницький
гидросфера, гідросфера
меридиан, меридіан
бронхит, бронхіт
шлюпка, шлюпка
чувствительный, чутливий
белоголовый, білоголовий
бензосодержимый, бензовмісний
низкоорбитальный, низькоорбітальний
соболезнование, співчуття
сканировать, сканувати
селекторный, селекторний
околоствольный, навколостовбурний
закручивать, закручувати
гуманизация, гуманізація
авиадвигателестроение, авіадвигунобудування
переломный, переломний
засолить, засолити
металлический, металевий
избирать, обирати
дирижабль, дирижабль
ларинготрахеопластика, ларінготрахеопластика
нецензурный, нецензурний
провозгласить, проголосити
вагоностроение, вагонобудування
покинуть, покинути
миролюбивый, миролюбний
благотворитель, благодійник
углублённый, поглиблений
послегарантийный, післягарантійний
грозный, грізний
обледенеть, заледеніти
роддом, пологовий будинок
ассоциироваться, асоціюватися
облепиховый, обліпиховий
кишечнополостной, кишковопорожнинний
внутриполитический, внутрішньополітичний
внутрирегиональный, внутрішньорегіональний
неграмотный, неграмотний
деепричастие, дієприслівник
двигать, рухати
покойный, покійний
обитаемый, жилий
безуспешный, невдалий
бритьё, гоління
выпуклый, опуклий
подсудимый, підсудний
геномный, геномний
фотосъёмка, фотозйомка
гомогенный, гомогенний
глинозёмистый, глиноземистий
судостроительный, суднобудівний
перебазировка, перебазування
безденежный, безгрошовий
дистиллировать, дистилювати
обнародовать, оприлюднити
затрагивать, зачіпати
полуавтоблокировка, напівавтоблокування
переоборудовать, переобладнати
бензорезательный, бензорізальний
антинародный, антинародний
паслёновый, пасльоновий
двадцатифутовый, двадцятифутовий
cертификация, сертифікація
шлейф, шлейф
аттестоваться, атестуватися
сертификат, сертифікат
смешать, змішати
безлактозной, безлактозний
безглютеновый, безглютеновий
козырёк, піддашок
кедровый, кедровий
воздушность, легкість
посягательство, посягання
близняшка, близнючка
коренья, коріння
безжизненный, неживий
вербовочный, вербувальний
послеоперационный, післяопераційний
заболевать, хворіти
выиграть, виграти
светоизлучающий, світловипромінюючий
сумочка, сумочка
патентовладелец, власник патенту
молниеотвод, блискавковідвід
критиковать, критикувати
глагол, дієслово
долгорукий, довгорукий
cубсидия, субсидія
внутриведомственный, внутрішньовідомчий
владеть, володіти
макрорегиональный, макрорегіональний
полуквалифицировать, напівкваліфікувати
астигматизм, астигматизм
амбарный, амбарний
гнездиться, гніздитися
близорукость, короткозорість
термический, термічний
крыша, дах
водопроницаемый, водопроникний
кладбищенский, цвинтарний
двузначный, двозначний
благословенный, благословенний
паутина, павутина
суперкомпьютерный, суперкомп'ютерний
пассажиропоток, пасажиропотік
диафрагменный, діафрагмовий
барабанщик, барабанщик
перешагивание, переступання
циркуляция, циркуляція
декретный, декретний
застилать, застеляти
микробактерия, мікробактерія
cпектр, cпектр
фотокарточка, фотокартка
звукоизолирующий, звукоізолюючий
аккредитовать, акредитувати
полипептидный, поліпептидний
симфонический, симфонічний
арбитраж, арбітраж
древовидный, деревовидний
буфет, буфет
гуманный, гуманний
понижать, знижувати
парикмахерский, перукарський
видеоинструкция, відеоінструкція
дозировать, дозувати
авиастроитель, авіабудівник
снегопад, снігопад
подарить, подарувати
градуировать, градуювати
правозащитный, правозахисний
засохнуть, засохнути
фонарь, ліхтар
мистический, містичний
кардиокомпрессор, кардіокомпрессор
классический, класичний
воздухообменный, повітрообміний
водопотребление, водоспоживання
мобилизационность, мобілізаційність
бежать, бігти
катаклизм, катаклізм
газотрубопроводный, газотрубопровідний
ацетиламиноэтановый, ацетіламіноетановий
рыбохозяйственный, рибогосподарський
безнадзорный, бездоглядний
акустоэлектромагнитный, акустоелектромагнітний
гробница, гробниця
cформировать, cформувати
сверхглубокий, надглибокий
замазывать, замазувати
безаукционный, безаукційний
маловероятный, малоймовірний
трибунал, трибунал
биоактивный, біоактивний
молокоперерабатывающий, молокопереробний
бегунок, бігунок
герметизировать, герметизувати
полугерметичный, напівгерметичний
популяризироваться, популяризуватись
увольнять, звільняти
вектор, вектор
ледник, льодовик
сверхлёгкий, надлегкий
иммунотерапия, імунотерапія
быстродействующий, швидкодіючий
архивоведение, архівознавство
природоресурсный, природоресурсний
безальтернативный, безальтернативний
болезнетворный, хвороботворний
брезентовый, брезентовий
термопластичный, термопластичний
застраиваться, забудовуватися
гибридный, гібридний
выписывать, виписувати
тревожный, тривожний
канцелярия, канцелярія
отчуждаться, відчужуватися
погрузочный, навантажувальний
многоэтапный, багатоетапний
высокоприбыльный, високоприбутковий
кристаллический, кристалічний
мореходный, мореплавний
стандартизировать, стандартизувати
богатырь, богатир
кошачий, котячий
подвижность, рухливість
полупустыня, напівпустеля
мрамор, мармур
врезаться, врізатися
макетирование, макетування
теплоход, теплохід
затенять, затінювати
цветовой, колірний
моллюск, молюск
электротермический, електротермічний
индустриализация, індустріалізація
соучредитель, співзасновник
грандиозный, грандіозний
легкоатлет, легкоатлет
кипячёный, кип'ячений
враждовать, ворогувати
мраморный, мармуровий
морковный, морквяний
гармонизировать, гармонізувати
светотехнический, світлотехнічний
проработать, опрацювати
агглютинация, аглютинація
взросление, дорослішання
прозрачный, прозорий
внутрибиблиотечный, внутрішньобібліотечний
аналитик, аналітик
облегчить, полегшити
внутрифондовый, внутрішньофондовий
пунктуация, пунктуація
приусадебный, присадибний
антистафилококковый, антистафілококовий
инспектировать, інспектувати
бетоновоз, бетоновоз
всевозможный, всілякий
фонематический, фонематичний
близкорасположенный, сусідній
пятизвездочный, п'ятизірковий
пенообразователь, піноутворювач
закупщик, закупник
правосудие, правосуддя
систематизировать, систематизувати
гиперинфляционный, гіперінфляційний
моноресурсный, моноресурсний
прибороремонтный, приладоремонтний
инъекция, ін'єкція
кислотоустойчивость, кислотостійкість
инкубационный, інкубаційний
констатировать, констатувати
плодоовощной, плодоовочевий
водозащитный, водозахисний
вышивка, вишивка
височный, скроневий
терапевтический, терапевтичний
природоемкость, природоємність
cправка, довідка
аутистический, аутистичний
пенообразующий, піноутворювальний
инкассаторный, інкасаторний
спиртовой, спиртовий
судомеханический, судномеханічний
акклиматизация, акліматизація
гиперболизировать, гіперболізувати
гардеробщик, гардеробник
катастрофоустойчивость, катастрофостійкість
показатель, показник
собственный, власний
эндолимфатический, ендолімфатичний
компьютеризация, комп'ютеризація
cостав, cостав
метаморфоза, метаморфоза
недоработанность, недопрацьованість
далёкий, далекий
демонтажный, демонтажний
кинокомпания, кінокомпанія
выезжать, виїжджати
мотовелосипед, мотовелосипед
кожица, шкірка
инструкционный, інструкційні
полярный, полярний
аллея, алея
недоброжелательный, недоброзичливий
приозёрный, приозерний
мобилизовывать, мобілізовувати
вулкан, вулкан
преференциальный, преференційний
инфракрасный, інфрачервоний
архитектура, архітектура
перекрёсток, перехрестя
аварийность, аварійність
предполагать, припускати
выкачка, викачка
паутинообразный, паутиноподібний
паутинистый, паутиністий
политология, політологія
закрашивание, зафарбовування
мучнистый, борошнистий
витаминизированный, вітамінізований
хром, хром
подозрительный, підозрілий
перекройка, перекроювання
лечить, лікувати
кодировать, кодувати
личность, особистість
нефтеподогреватель, нафтопідігрівач
уничтожаться, знищуватися
сравнительный, порівняльний
гидропневматический, гідропневматичний
квашеный, квашений
аудиокассета, аудіокасета
мозаика, мозаїка
вымерзание, вимерзання
монохромный, монохромний
симптоматический, симптоматичний
полумесяц, півмісяць
клинический, клінічний
труженик, трудівник
попросить, попросити
формуляр, формуляр
турбинный, турбінний
высокоэффективный, високоефективний
принуждать, примушувати
пастообразный, пастоподібний
зарезервировать, зарезервувати
дидактический, дидактичний
привлекательный, привабливий
влагоустойчивый, вологотривкий
зарывать, заривати
метеорологический, метеорологічний
компрессор, компресор
технологичный, технологічний
сахароза, сахароза
вольфрам, вольфрам
мультиминерал, мультимінерал
пакетирование, пакетування
одурманивающий, одурманюючий
ожерелье, намисто
мазутный, мазутний
