российской , російської
московского, московського
долга, боргу
формах, формах
способы, способи
инновационных, інноваційних
аварии, аварії
предусмотрены, передбачені
носителе, носії
границу, кордон
утвержденную, затверджену
пределы, межі
малых, малих
представители, представники
экономика, економіка
ядерных, ядерних
статей, статей
знаком, знаком
факторов, факторів
племенного, племінного
представляемых, подаються
невозможности, неможливості
санитарной, санітарної
поступлений, надходжень
торгов, торгів
запись, запис
территориальными, територіальними
расхода, витрати
погашения, погашення
координации, координації
согласование, узгодження
содержащих, містять
содержать, містити
выпускников, випускників
учебного, навчального
многолетний, багаторічний
бытового, побутового
найма, найму
рассматривает, розглядає
медалью, медаллю
рост, зріст
подписывается, підписується
несет, несе
гидротехнических, гідротехнічних
физкультурно, фізкультурно
действующего, діючого
статистики, статистики
площадки, майданчики
автомобильным, автомобільним
национальных, національних
привлечение, залучення
международным, міжнародним
образованием, освітою
унитарное, унітарне
расширение, розширення
изготовление, виготовлення
компенсацию, компенсацію
основах, основах
водоснабжение, водопостачання
медицинские, медичні
оперативно, оперативно
комплексной, комплексної
расходования, витрачання
нарушением, порушенням
правительству, уряду
измерений, вимірювань
считать, вважати
поправок, поправок
таможенную, митний
открытых, відкритих
трудовые, трудові
публики, публіки
выдается, видається
лекарственного, лікарського
транспортные, транспортні
строка, рядок
увеличения, збільшення
наградить, нагородити
технический, технічний
лесничества, лісництва
должностному, посадовій
сотрудника, співробітника
выходов, виходів
приравненных, прирівняних
директоров, директорів
относится, відноситься
регламентом, регламентом
информирование, інформування
распоряжению, розпорядженням
муниципальному, муніципальному
сельскохозяйственным, сільськогосподарським
проводимых, що проводяться
обжалования, оскарження
подвижного, рухомого
прочая, інша
оснащение, оснащення
энергию, енергію
результата, результату
примечание, примітка
готовности, готовності
подписании, підписанні
федеральную, федеральну
прокуратуры, прокуратури
связей, зв'язків
техническими, технічними
избирательным, виборчим
канализации, каналізації
бесплатного, безкоштовного
материальной, матеріальної
представленные, представлені
минобороны, міноборони
заверенные, завірені
методики, методики
водного, водного
свердловская, свердловська
включительно, включно
вопросу, питання
партии, партії
модернизацию, модернізацію
добросовестный, сумлінну
наблюдения, спостереження
структура, структура
предложением, пропозицією
сеть, мережа
дорожной, дорожньої
личной, особистої
режиме, режимі
обязательным, обов'язковим
открепительных, відкріпних
учащихся, учнів
провести, провести
учредителя, засновника
очной, очної
надзор, нагляд
особой, особливої
эмитента, емітента
США, США
дошкольных, дошкільних
заинтересованных, зацікавлених
основ, основ
среднее, середнє
поручений, доручень
морской, морський
новым, новим
международные, міжнародні
транспорт, транспорт
оценку, оцінку
тайну, таємницю
культур, культур
объекте, об'єкті
вооружения, озброєння
знак, знак
санитарного, санітарного
признания, визнання
унитарных, унітарних
отдельно, окремо
детский, дитячий
используемые, використовувані
административный, адміністративний
разрешений, дозволів
подтверждения, підтвердження
участии, участю
случая, випадку
чернобыльской, чорнобильської
дополнительной, додаткової
материала, матеріалу
закрытого, закритого
муниципальном, муніципальному
контрактной, контрактної
железной, залізної
гражданином, громадянином
абзацы, абзаци
надбавки, надбавки
подпунктах, підпунктах
узлов, вузлів
отопления, опалення
экземплярах, примірниках
перехода, переходу
находящиеся, що знаходяться
применяемых, застосовуваних
ставка, ставка
почтовой, поштової
деле, справі
челябинская, челябінська
багажа, багажу
телерадиовещания, телерадіомовлення
администрацией, адміністрацією
схема, схема
лесной, лісової
собственные, власні
возникающих, що виникають
кирпич, цегла
кадастра, кадастру
услугу, послугу
подпунктами, підпунктами
топливно, паливно
программных, програмних
саморегулируемой, саморегулівної
языке, мовою
жилые, житлові
российским, російським
осуществляющими, здійснюють
Украины, України
принято, прийнято
относятся, відносяться
продукта, продукту
нефтепродуктов, нафтопродуктів
поле, поле
нормам, нормам
сетям, мереж
рекомендации, рекомендації
принятием, прийняттям
взноса, внеску
агентством, агентством
справки, довідки
официальный, офіційний
распределении, розподілі
включении, включенні
утверждает, стверджує
Грузии, Грузії
вредных, шкідливих
установлен, встановлений
доктору, доктору
необходимость, необхідність
указать, вказати
передачу, передачу
городов, міст
хозяйств, господарств
профессору, професору
культурой, культурою
списки, списки
газ, газ
банком, банком
сдачи, здачі
строительного, будівельного
предусмотренной, передбаченої
комитетом, комітетом
очередь, чергу
железнодорожных, залізничних
фактического, фактичного
наградами, нагородами
погашение, погашення
оптового, оптового
финансовому, фінансовому
новые, нові
утепление, утеплення
наказания, покарання
абзаца, абзацу
президиума, президії
спортом, спортом
отчетов, звітів
вагонов, вагонів
перечисление, перерахування
начальником, начальником
платежа, платежу
ценностей, цінностей
первичной, первинної
способности, здатності
адресной, адресному
гражданский, цивільний
коммунальные, комунальні
дефицита, дефіциту
крупного, крупного
корпуса, корпусу
сделки, угоди
пособие, допомога
воспитания, виховання
жалобе, скарзі
абзацами, абзацами
игр, ігр
бухгалтерского, бухгалтерського
ежегодного, щорічного
восстановление, відновлення
Туркменистане, Туркменістані
сопровождение, супровід
груза, вантажу
сотрудничество, співробітництво
продолжительность, тривалість
образцов, зразків
департаментом, департаментом
энергетического, енергетичного
юридическими, юридичними
медицинским, медичним
пошлин, мит
формируется, формується
величины, величини
старший, старший
избирательная, виборча
начиная, починаючи
адреса, адреси
представлению, поданням
отличия, відмінності
конституционном, конституційному
получателем, одержувачем
обязательствам, зобов'язаннями
бешенству, сказу
застройки, забудови
блики, відблиски
фамилии, прізвища
образец, зразок
городе, місті
сектора, сектора
правовым, правовим
почте, поштою
лично, особисто
территориальном, територіальному
прошедших, минулих
краснодарский, краснодарський
древесины, деревини
расчеты, розрахунки
специализированного, спеціалізованого
определен, визначений
документацию, документацію
состоит, складається
положениями, положеннями
утверждено, затверджено
образа, образу
сокращение, скорочення
указания, вказівки
сроком, терміном
станций, станцій
приостановлении, призупинення
занимающихся, займаються
победы, перемоги
распоряжении, розпорядженні
ростовская, ростовська
инициативе, ініціативи
этапе, етапі
принимаются, приймаються
органу, органу
четвертом, четвертому
одним, одним
сравнению, порівняно
заданий, завдань
информационные, інформаційні
уставом, статутом
крышу, дах
приведены, наведені
согласие, згода
призыву, заклику
финансовые, фінансові
заказчиком, замовником
управляющей, керуючої
уполномоченные, уповноважені
владельцев, власників
смоленская, смоленська
пространства, простору
единовременной, одноразової
нижний, нижній
филиал, філія
регулярных, регулярних
участию, участі
инвестиционным, інвестиційним
заседание, засідання
этапы, етапи
прошлых, минулих
экспертов, експертів
потерь, втрат
учебные, навчальні
общегосударственные, загальнодержавні
подраздел, підрозділ
сетевой, мережевий
платежи, платежі
налоговом, податковому
информационное, інформаційне
выделенных, виділених
вносит, вносить
первую, першу
спасательных, рятувальних
третьей, третьої
высокотехнологичной, високотехнологічної
реже, рідше
отнесенные, віднесені
структуре, структурі
участникам, учасникам
предоставляемой, наданої
гражданину, громадянину
размещению, розміщення
происхождения, походження
месячный, місячний
обследования, обстеження
покрытием, покриттям
потребностей, потреб
граница, межа
соответствующее, відповідне
уровню, рівню
приведения, приведення
заинтересованными, зацікавленими
радиации, радіації
касающейся, що стосується
государственно, державно
счетах, рахунках
ребенком, дитиною
внесенных, внесених
расположенного, розташованого
переустройство, перебудову
медицинское, медичне
заказчик, замовник
реализующих, реалізують
разработать, розробити
взнос, внесок
производств, виробництв
прогноз, прогноз
экзамена, іспиту
кадрового, кадрового
управленческих, управлінських
жителей, жителів
физическими, фізичними
статуса, статусу
радиационной, радіаційної
прогноза, прогнозу
позволит, дозволить
собранием, зборами
серия, серія
купли, купівлі
задолженность, заборгованість
руководители, керівники
правило, правило
ходатайства, клопотання
нуждающихся, які потребують
особые, особливі
проблемы, проблеми
экологическому, екологічному
снижения, зниження
аварийно, аварійно
крови, крові
телефон, телефон
всероссийского, всеросійського
обучающимся, які навчаються
счете, рахунку
правам, прав
республик, республік
молочного, молочного
десяти, десяти
осуществлением, здійсненням
урегулированию, врегулюванню
таможенным, митним
карты, карти
разряда, розряду
минздрав, мінохоронздоров'я
выслугу, вислугу
силы, сили
достоверности, достовірності
данный, даний
связь, зв'язок
нескольких, декількох
лесах, лісах
заявке, заявці
дальнейшем, надалі
советов, рад
включить, увімкнути
отходами, відходами
возможностей, можливостей
стационарных, стаціонарних
земельные, земельні
достижении, досягненні
находящимся, знаходяться
страхового, страхового
выявление, виявлення
естественных, природних
законных, законних
испытания, випробування
передача, передача
пошлина, мито
модели, моделі
доработать, доопрацювати
необходимого, необхідного
станция, станція
сборы, збори
ожидаемый, очікуваний
внешних, зовнішніх
приказами, наказами
утверждаются, затверджуються
графы, графи
экземпляр, екземпляр
применению, застосування
пункту, пункту
одну, одну
эксплуатация, експлуатація
конкурсов, конкурсів
увольнения, звільнення
платежам, платежах
комиссариата, комісаріату
умения, вміння
центры, центри
полного, повного
исследовательского, дослідного
совершенствованию, вдосконалення
предприятиями, підприємствами
кабинет, кабінет
иностранными, іноземними
референдуме, референдумі
сетевых, мережевих
судьи, судді
которую, яку
относящиеся, пов'язані
доклад, доповідь
вознаграждения, винагороди
планы, плани
получить, отримати
соблюдению, дотриманню
застрахованного, застрахованого
относительно, щодо
границе, кордоні
учитываются, враховуються
перечню, переліку
требование, вимога
подразделениях, підрозділах
материалами, матеріалами
ведущий, провідний
профилактических, профілактичних
гражданскими, цивільними
призывной, призовної
расчетный, розрахунковий
производить, виробляти
отбор, відбір
оборонного, оборонного
системой, системою
правоохранительной, правоохоронної
возврат, повернення
публичного, публічного
поступлении, По прибутті
рогатого, рогатої
ведущих, провідних
мониторингу, моніторингу
административном, адміністративному
учительнице, вчительці
товарной, товарної
региональный, регіональний
медицинскую, медичну
используется, використовується
защиту, захист
президентом, президентом
горных, гірських
перевозке, перевезення
включенные, включені
нужды, потреби
гражданско, цивільно
архивного, архівного
норматив, норматив
дни, дні
совершении, вчиненні
журнале, журналі
документация, документація
таблицы, таблиці
удостоверяющего, засвідчує
подземных, підземних
выпуск, випуск
данном, даному
ставок, ставок
доступным, доступним
уход, догляд
пород, порід
инструментов, інструментів
граммы, грами
технологическому, технологічного
любой, будь-який
финансами, фінансами
проекту, проекту
ученых, вчених
понедельник, понеділок
непрограммные, непрограмні
участвовать, брати участь
жалоб, скарг
гражданскому, цивільному
стран, країн
накоплений, накопичень
подтверждающий, підтверджує
лицевого, лицевого
надежности, надійності
оператор, оператори
собственников, власників
избирательную, виборчу
женщин, жінок
выписки, виписки
страховании, страхування
лечебно, лікувально
отраслей, галузей
кафедрой, кафедрою
жилищное, житлове
непрограммного, непрограммного
вещества, речовини
добавленную, додану
ввести, ввести
лицензировании, ліцензування
компонентов, компонентів
отдельными, окремими
инициалы, ініціали
процент, відсоток
грантов, грантів
эффективной, ефективної
больницы, лікарні
необходимыми, необхідними
трубопроводов, трубопроводів
рабочий, робочий
концепции, концепції
оформляются, оформляються
осуществляемых, здійснюваних
приморский, приморський
дате, датою
радиоактивных, радіоактивних
уведомлением, повідомленням
иностранным, іноземним
красноярский, красноярський
пенсий, пенсій
внедрения, впровадження
переселения, переселення
баллов, балів
профессиональные, професійні
соединений, з'єднань
подпрограмм, підпрограм
одобрен, схвалений
движимого, рухомого
ленинградская, ленінградська
кабинета, кабінету
признается, визнається
именуется, іменується
переработке, переробці
налоговым, податковим
копий, копій
метра, метра
инструмента, інструменту
стандартизации, стандартизації
постоянной, постійної
академия, академія
профессиональным, професійним
улица, вулиця
качеством, якістю
соисполнители, співвиконавці
свобод, свобод
ориентированных, орієнтованих
выездной, виїзної
черного, чорного
перечне, переліку
газета, газета
палатами, палатами
русском, російською
исполнителем, виконавцем
дружбы, дружби
газоснабжение, газопостачання
персонал, персонал
цеха, цеху
выполнять, виконувати
информирования, інформування
переговоров, переговорів
кровлю, покрівлю
среду, середу
приостановления, призупинення
основаниям, підставах
здоровью, здоров'ю
график, графік
обеспечивающей, забезпечує
несчастных, нещасних
коммерческой, комерційної
телефонной, телефонної
мощностью, потужністю
приводит, призводить
предварительного, попереднього
сохранению, збереженню
осмотров, оглядів
отношению, відношенню
автодороги, автодороги
экологического, екологічного
защитных, захисних
средствам, засобам
сотрудникам, співробітникам
протоколов, протоколів
последующими, подальшими
название, назва
годовой, річний
акции, акції
целевым, цільовим
обороне, обороні
расположенные, розташовані
завода, заводу
малочисленных, нечисленних
твердых, твердих
Узбекистан, Узбекистан
клиническая, клінічна
счетной, лічильної
конкретных, конкретних
являющиеся, є
Новгород, Новгород
заключенных, укладених
корпус, корпус
литературы, літератури
кооператива, кооперативу
преступления, злочину
жилищной, житлової
своем, своєму
производственное, виробниче
третьего, третього
стимулирование, стимулювання
характеристик, характеристик
культурных, культурних
поправки, поправки
перечнем, переліком
преступлений, злочинів
генеральному, генеральному
методические, методичні
мероприятиям, заходам
незамедлительно, негайно
обеспечивающие, забезпечують
технологическое, технологічне
участник, учасник
связанной, пов'язаної
разряд, розряд
предполагается, передбачається
опеки, опіки
сертификатов, сертифікатів
договорами, договорами
общественно, суспільно
производственно, виробничо
представительства, представництва
подростков, підлітків
предписания, приписи
должника, боржника
имеется, є
минюста, мін'юсту
занятых, зайнятих
проводиться, проводитися
вентилируемую, вентильований
базовых, базових
подраздела, підрозділу
антимонопольной, антимонопольної
химического, хімічного
лист, лист
обязательство, зобов'язання
газоснабжения, газопостачання
оператором, оператором
обратно, назад
процедуру, процедуру
лекарственные, лікарські
алтайский, алтайський
минтруд, Мінпраці
вопросах, питаннях
предметом, предметом
профессий, професій
постановке, постановці
заявка, заявка
омская, омська
принятый, прийнятий
правилах, правилах
финансовыми, фінансовими
хирургическое, хірургічне
кострома, кострома
получателями, одержувачами
эксперт, експерт
настоящими, справжніми
страховые, страхові
территория, територія
канализационного, каналізаційного
факта, факту
существу, суті
присоединения, приєднання
жизненной, життєвої
оклада, окладу
соблюдении, дотриманні
этапа, етапу
старшего, старшого
планового, планового
рекомендовать, рекомендувати
бытовых, побутових
судебном, судовому
прикладные, прикладні
помещениями, приміщеннями
предоставить, надати
прилагаемых, додаються
передаваемые, передаються
отделением, відділенням
рекомендаций, рекомендацій
согласованное, узгоджене
село, село
заведения, закладу
участником, учасником
подвергшихся, які зазнали
катастрофы, катастрофи
периоды, періоди
экспорта, експорту
принятом, прийнятому
максимальный, максимальний
трудоустройства, працевлаштування
определены, визначені
коммуникационных, комунікаційних
кластера, кластера
ведомственные, відомчі
формирований, формувань
ежемесячная, щомісячна
гранта, гранту
мясного, м'ясного
департаменте, департаменті
работой, роботою
электрическую, електричну
чемпионата, чемпіонату
сообщении, повідомленні
избирательному, виборчому
той, тієї
отражаются, відображаються
внутривенного, внутрішньовенного
каменные, кам'яні
предназначенные, призначені
загрязнения, забруднення
военные, військові
параметры, параметри
инспектор, інспектор
продукцию, продукцію
регионе, регіоні
лекарственными, лікарськими
студентов, студентів
средство, засіб
служащий, службовець
полетов, польотів
молока, молока
возможно, можливо
отражается, відображається
флота, флоту
агитационных, агітаційних
таможенном, митному
устранению, усунення
достоверность, достовірність
тарифы, тарифи
величина, величина
обязательной, обов'язкової
центром, центром
здравоохранение, охорону здоров'я
врачей, лікарів
предусматривает, передбачає
минприроды, мінприроди
рассматривается, розглядається
магистратуры, магістратури
профессии, професії
существующих, існуючих
утилизации, утилізації
субъекту, суб'єкту
ежемесячного, щомісячного
внешней, зовнішньої
бухгалтерской, бухгалтерської
лишения, позбавлення
интернат, інтернат
паспорте, паспорті
обязанность, обов'язок
экономически, економічно
отмене, скасування
создать, створити
окладов, окладів
здорового, здорового
каждом, кожному
спортсменов, спортсменів
комплексный, комплексний
товаропроизводителям, товаровиробникам
несут, несуть
осужденных, засуджених
сокращенное, скорочене
команд, команд
полной, повної
индикаторы, індикатори
трудной, важкою
обществом, суспільством
влияние, вплив
налоговые, податкові
маломобильных, маломобільних
многолетнюю, багаторічну
леса, ліси
автоматизированной, автоматизованої
являющимся, є
льгот, пільг
обитания, проживання
планируемых, планованих
представителю, представнику
кадастровой, кадастрової
военный, військовий
крупных, великих
пенсионный, пенсійний
база, база
суток, діб
званий, звань
невентилируемой, невентильованої
минэнерго, міненерго
комитеты, комітети
искусств, мистецтв
расстояние, відстань
частности, зокрема
плану, планом
обстоятельства, обставини
высшим, вищим
переводе, перекладі
коэффициента, коефіцієнта
устойчивого, стійкого
полноты, повноти
обеспечивают, забезпечують
библиотек, бібліотек
субъекте, суб'єкті
отходы, відходи
военнослужащего, військовослужбовця
бюллетеней, бюлетенів
текст, текст
технологические, технологічні
секретаря, секретаря
фонде, фонді
нижегородская, нижегородська
прирост, приріст
водопроводно, водопровідно
природной, природного
капитальному, капітального
районы, райони
ответственных, відповідальних
медицинскими, медичними
субъект, суб'єкт
районам, районам
выполняемых, виконуваних
временное, тимчасове
потребительских, споживчих
квалифицированной, кваліфікованої
стандарты, стандарти
превышающий, перевищує
организационного, організаційного
оказывающих, надають
входит, входить
мероприятиями, заходами
типовой, типовий
муниципаль, муніципали
перевооружение, переозброєння
панельные, панельні
единовременного, одноразової
техника, техніка
налогу, податку
амурская, амурський
энергетических, енергетичних
Екатеринбург, Єкатеринбург
соответствующему, відповідному
предприятиям, підприємствам
премий, премій
изучение, вивчення
химических, хімічних
миграционной, міграційної
заявлением, заявою
плате, платі
образовательная, освітня
министром, міністром
уходу, догляду
дневный, денний
коммунальными, комунальними
поскольку, оскільки
городская, міська
хозяйственных, господарських
решающего, вирішального
исчисления, обчислення
тепловых, теплових
нормативной, нормативної
высшей, вищої
размещении, розміщенні
отделение, відділення
направленности, спрямованості
частного, приватного
автомобилей, автомобілів
компенсаций, компенсацій
ответа, відповіді
руководства, керівництва
продукты, продукти
подлежащие, підлягають
языка, мови
техническая, технічна
приставов, приставів
руководством, керівництвом
проектом, проектом
заявку, заявку
законы, закони
пользователей, користувачів
сопровождения, супроводу
интеграции, інтеграції
авиационных, авіаційних
сад, сад
актах, актах
товаропроизводителей, товаровиробників
заседаний, засідань
среде, середовищі
профилактика, профілактика
блока, блоку
продлении, продовження
заведующей, завідуючої
уменьшение, зменшення
группам, групам
тамбовская, тамбовська
отпуск, відпустку
действует, діє
показателям, показниками
листов, аркушів
размещается, розміщується
обработку, обробку
ходатайство, клопотання
отделом, відділом
возложенных, покладених
взаимодействии, взаємодії
ценные, цінні
объектом, об'єктом
определенной, певної
градостроительной, містобудівної
входят, входять
ежеквартально, щоквартально
исполнители, виконавці
системах, системах
главой, главою
ресурсам, ресурсів
заключений, висновків
соответствующую, відповідну
списков, списків
составляющих, складових
крестьянских, селянських
вносить, вносити
обо, про
краю, краю
пятом, п'ятому
исследовательские, дослідні
рассматриваются, розглядаються
необходимым, необхідним
допуска, допуску
классов, класів
принятые, прийняті
специалисты, фахівці
экспертной, експертної
многофункциональных, багатофункціональних
массового, масового
исполнительным, виконавчим
бюджетами, бюджетами
способ, спосіб
приятие, прийняття
дорога, дорога
арбитражный, арбітражний
очистки, очищення
одному, одному
акциза, акцизу
понесенных, понесених
финансовая, фінансова
выхода, виходу
выплачивается, виплачується
саратовская, саратовська
урегулировании, врегулюванні
предусматривать, передбачати
совместных, спільних
электрических, електричних
организа, організує
судьями, суддями
принадлежащих, що належать
железнодорожным, залізничним
указанном, зазначеному
уведомляет, повідомляє
равно, одно
образца, зразка
коренных, корінних
борьбе, боротьбі
устранении, усуненні
тысячи, тисячі
поставщика, постачальника
каналам, каналам
аттестационной, атестаційної
данному, даному
законную, законну
портала, порталу
незаконного, незаконного
Казахстане, Казахстані
правоохранительных, правоохоронних
конституционных, конституційних
инновационного, інноваційного
местностях, місцевостях
коррупционных, корупційних
внимание, увага
точек, точок
совместного, спільного
ограничительных, обмежувальних
комсомольская, комсомольська
указание, вказівка
кемеровская, кемеровська
опубликовать, опублікувати
документацией, документацією
резервного, резервного
минимальных, мінімальних
поступающих, надходять
избирательные, виборчі
представлен, представлений
правовому, правовому
соблюдать, дотримуватися
имеющихся, наявних
судебной, судової
разрезе, розрізі
опыт, досвід
ежедневно, щодня
автомобиля, автомобіля
назначению, призначенням
оздоровительных, оздоровчих
составление, складання
выделяемых, що виділяються
уполномоченному, уповноваженому
пользоваться, користуватися
подарка, подарунка
денежная, грошова
полномочного, повноважного
настоящие, справжні
болезней, хвороб
правовое, правове
октябрьская, жовтнева
содержащиеся, містяться
идентификационный, ідентифікаційний
таблицу, таблицю
поручению, дорученням
доставки, доставки
атомному, атомному
исполняющий, виконуючий
критерии, критерії
иркутская, іркутська
рыболовства, рибальства
техническом, технічному
письменное, письмове
пенсию, пенсію
правительственной, урядової
официальным, офіційним
вторую, другу
семян, насіння
проживающим, які проживають
продукция, продукція
дарственной, дарчим
Узбекистане, Узбекистані
мощностей, потужностей
жилыми, житловими
служащему, службовцю
последнего, останнього
инвалидами, інвалідами
поощрении, заохочення
согласовании, узгодженні
