плесневеть, пліснявіти
гидротехнический, гідротехнічний
кровнородственный, кровноспоріднений
жительство, проживання
анонимка, анонімка
сверхчувственный, надчутливий
сфальсифицировать, сфальсифікувати
взаимоуважение, взаємоповага
свиноводство, свинарство
перезагрузиться, перезавантажитися
освобождать, звільняти
аннотация, анотація
разбрызгать, розбризкати
очертить, окреслити
выразиться, висловитися
эпиграфический, епіграфічний
газообразователь, газоутворювач
реаниматор, реаніматор
безостановочный, невпинний
кремообразный, кремоподібний
заснеженный, засніжений
благотворительница, благодійниця
флюорографический, флюорографічний
асфальтировать, асфальтувати
перерабатываться, перероблятися
трезвонить, лунати
сертифицировать, сертифікувати
сгенерировать, згенерувати
холмистый, горбистий
финишировать, фінішувати
грузополучатель, вантажоодержувач
звуконепроницаемый, звуконепроникний
социометрический, соціометричний
удосуживаться, спромагаються
обездвижить, знерухомити
коррупционность, корупційність
антидопинговый, антидопінговий
оптимизироваться, оптимізуватися
вегетососудистый, вегетосудинний
натуралистический, натуралістичний
самоустраниться, самоусунутися
благородный, благородний
соприкасаться, стикатися
моторизированный, моторизований
реформаторство, реформаторство
прокрастинация, прокрастинація
замуровать, замурувати
гармонировать, гармоніювати
предсвадебный, передвесільний
ориентировочный, орієнтовний
односпальный, односпальний
кошачий, котячий
неодушевлённый, неживий
полузакрытый, напівзакритий
переоборудовать, переобладнати
допремьерный, допрем'єрний
сулить, обіцяти
сопереживать, співпереживати
тарифицировать, тарифікувати
перезаряжать, перезаряджати
беломраморный, біломармуровий
коммуникабельность, комунікабельність
дальнемагистральный, далекомагістральний
одеколон, одеколон
капсульный, капсульний
суеверный, забобонний
раскрываться, розкриватися
неопределённый, невизначений
обитать, мешкати
вознаграждение, винагорода
судовладелец, судновласник
корреспонденция, кореспонденція
имплантировать, імплантувати
хаотический, хаотичний
диагностировать, діагностувати
этнократический, етнократичний
покалечить, покалічити
водоснабжающий, водопостачальний
вакуумирование, вакуумування
светоотражатель, світловідбивач
ликвидироваться, ліквідуватися
высокопродуктивный, високопродуктивний
солончак, солончак
бисексуал, бісексуал
кардиолог, кардіолог
резервуарный, резервуарний
гидродинамический, гідродинамічний
постмодернизм, постмодернізм
быстродействующий, швидкодіючий
полипропиленовый, поліпропіленовий
посткоммунистический, посткомуністичний
водосливной, водозливний
дозревать, дозрівати
размягчить, розм'якшити
маловероятный, малоймовірний
файлообмен, файлообмін
человекоподобный, людиноподібний
фторсодержащий, фторвмісний
империализм, імперіалізм
бортпитание, бортхарчування
деформируемость, деформованість
квадрацикл, квадрацикл
фиалковый, фіалковий
водохозяйственный, водогосподарський
рыбокомбинат, рибокомбінат
бинокулярный, бінокулярний
оборонительный, оборонний
импровизированный, імпровізований
прорекламировать, прорекламувати
завалить, завалити
затуманивание, затуманення
акклиматизировать, акліматизувати
овощерезка, овочерізка
реактивность, реактивність
имплантированный, імплантований
термомеханический, термомеханічний
ферментационный, ферментаційний
отремонтировать, відремонтувати
телерадиокомпания, телерадіокомпанія
лиричность, ліричність
страус, страус
папироса, цигарка
сердцевидный, серцевидний
сосудорасширяющий, судинорозширювальний
шизофренический, шизофренічний
плодоносный, плодоносний
угледобывающий, вуглевидобувний
толерантный, толерантний
нечленораздельный, невиразний
аккордовый, акордовий
метросексуал, метросексуал
влюблённость, закоханість
темпераментный, темпераментний
воскрешать, воскрешати
разносторонность, різнобічність
содрогнуться, здригнутися
эпидермис, епідерміс
аудиообращение, аудіозвернення
прохладительный, прохолоджувальний
дискутировать, дискутувати
сверхглубокий, надглибокий
бронхоскопия, бронхоскопія
гармонизировать, гармонізувати
эллипсоидный, еліпсоїдний
полнофункциональный, повнофункціональний
радиаторы, радіатори
аутентифицировать, автентифікувати
лапароскопический, лапароскопічний
фиксирование, фіксування
имитационный, імітаційний
холодостойкий, холодостійкий
фанатичность, фанатичність
малоэффективный, малоефективний
мелодраматический, мелодраматичний
тоталитарность, тоталітарність
бесформенность, безформність
гидрометаллургический, гідрометалургійний
налогооблагаемый, оподатковуваний
надсмотрщик, наглядач
чужестранец, чужинець
штукатурить, штукатурити
деревянистый, дерев'янистий
воздухоохладитель, повітроохолоджувач
целомудрие, цнотливість
комментировать, коментувати
заминировать, замінувати
продемонстрировать, продемонструвати
бессимптомный, безсимптомний
метеоритный, метеоритний
лётчица, льотчиця
типологический, типологічний
безапелляционность, безапеляційність
окутывать, огортати
дискредитировать, дискредитувати
водоплавающий, водоплавний
мануальный, мануальний
увековечить, увічнити
ремесленнический, ремісницький
идентифицировать, ідентифікувати
девальвационный, девальваційний
эксплуатировать, експлуатувати
ошеломительный, приголомшливий
абонирование, абонування
сегментировать, сегментувати
фильтровентиляционный, фільтровентиляційний
нонконформист, нонконформіст
мультимиллиардер, мультимільярдер
телерадиопередача, телерадіопередача
военнообязанный, військовозобов'язаний
тренажёрный, тренажерний
белокаменный, білокам'яний
разогреться, розігрітися
деморализация, деморалізація
патологоанатомический, патологоанатомічний
амнистировать, амністувати
золотосодержащий, золотовмісний
возобновить, відновити
узкоплечий, вузькоплечий
стенографистка, стенографістка
мясомолочный, м'ясо-молочний
льготник, пільговик
водопоглощение, водопоглинання
амортизировать, амортизувати
исцеление, зцілення
куркума, куркума
благорасположение, прихильність
пониженный, знижений
автокомплектовать, автокомплектовать
горноспасательный, гірничорятувальний
верхнечелюстной, верхньощелепний
литургия, літургія
травосмесь, травосуміш
виноградарь, виноградар
пессимистический, песимістичний
эластичность, еластичність
голубоглазый, блакитноокий
паралимпиец, паралімпієць
кинофабрика, кінофабрика
исчезать, зникати
мануфактура, мануфактура
минимизировать, мінімізувати
изнаночный, виворітний
полиграфический, поліграфічний
мелколиственный, дрібнолистий
консультационный, консультаційний
изнасилование, згвалтування
замедленность, сповільненість
сокрушительный, нищівний
подобранный, підібраний
магазинный, магазинний
менструальный, менструальний
аудиоустройство, аудіопристрій
душещипательный, жалісний
начальственный, начальницький
огнемёт, вогнемет
забеременеть, завагітніти
стохастический, стохастичний
изометрический, ізометричний
оккупационный, окупаційний
потонуть, потонути
дестабилизировать, дестабілізувати
психосоматический, психосоматичний
высококонцентрированный, висококонцентрований
малопонятный, малозрозумілий
обезоруживать, обеззброювати
теплокровный, теплокровний
лотерейный, лотерейний
германистика, германістика
стенограмма, стенограма
сатанизм, сатанізм
беспристрастие, неупередженість
теплоотражающий, тепловідбивний
перестроение, перестроювання
чужеземец, чужинець
свежесрезанный, свіжозрізаний
плоскогорье, плоскогір'я
громоотвод, громовідвід
эмигрантский, емігрантський
малоподвижный, малорухливий
тростник, очерет
акустический, акустичний
онкопатология, онкопатологія
энергоменеджмент, енергоменеджмент
аккумуляционный, акумуляційний
косинус, косинус
перекосить, перекосити
эволюционировать, еволюціонувати
фрикативный, фрикативний
анимешный, анімешний
водосберегающий, водозберігаючий
ритуальный, ритуальний
статус, статус
камуфлированный, камуфльований
колокольня, дзвіниця
водопользователь, водокористувач
грушевидный, грушовидний
оздоравливаться, оздоровлюватися
почернеть, почорніти
влагозащищенный, вологозахищений
яйцекладка, яйцекладка
противоэпидемический, протиепідемічний
зарезервированный, зарезервований
кирпич, цегла
сверхвысокий, надвисокий
противоударный, протиударний
термоэлектрический, термоелектричний
бревенчатый, дерев'яний
рыдание, ридання
информированный, інформований
трапециевидный, трапецієподібний
биоинформатика, біоінформатика
берегозащитный, берегозахисний
штангенциркуль, штангенциркуль
ознакомительный, ознайомлювальний
курирование, курирування
теологический, теологічний
глобализировать, глобалізувати
влагоустойчивость, вологостійкість
мифопоэтический, міфопоетичний
безвозвратный, безповоротний
крестообразный, хрестоподібний
аргументировать, аргументувати
лесбийский, лесбійський
транслирование, транслювання
чистильщик, чистильник
инкрустировать, інкрустувати
библиограф, бібліограф
обвисание, обвисання
паникёр, панікер
ассимилированный, асимільований
железобетонный, залізобетонний
антиаллергенный, антиалергенний
внутригосударственный, внутрішньодержавний
труднопроходимый, труднопрохідний
видеоускоритель, відеоприскорювач
бакалавриат, бакалаврат
согревать, зігрівати
спецлаборатория, спецлабораторія
гранулирование, гранулювання
урегулированность, урегульованість
щёткодержатель, щіткотримач
плодотворный, плідний
геоинформационный, геоінформаційний
треугольник, трикутник
фосфорный, фосфорний
государствообразующий, державотворчий
стилистический, стилістичний
кульминационный, кульмінаційний
школьница, школярка
мраморность, мармуровість
высокохудожественный, високохудожній
высокотехнологичный, високотехнологічний
взаимовыручка, взаємовиручка
горнометаллургический, гірничо-металургійний
сверхбыстрый, надшвидкий
литосферный, літосферний
отчеканить, викарбувати
импринтинг, імпринтинг
аудиовизуальный, аудіовізуальний
тяжеловесность, ваговитість
зерноуборочный, зернозбиральний
кругосветный, кругосвітній
горнопромышленный, гірничопромисловий
индивидуальность, індивідуальність
первопоселенец, першопоселенець
сверхестественный, надприродний
геотермальный, геотермальний
глобализационный, глобалізаційний
высокоэластичный, високоеластичний
грабительский, грабіжницький
лимфоцит, лімфоцит
виолончель, віолончель
прикасаться, торкатися
межпланетный, міжпланетний
курсировать, курсувати
малосольный, малосольний
геоморфологически, геоморфологічно
коленопреклонённый, уклінний
либеральный, ліберальний
приукрасить, прикрасити
полуофициально, напівофіційно
поляризовать, поляризувати
топливозаправщик, паливозаправник
прогнозировать, прогнозувати
троллейбусный, тролейбусний
долговременность, довготривалість
опротестовать, опротестувати
излечиться, вилікуватися
электронагревательный, електронагрівальний
картинный, картинний
автокредитование, автокредитування
малоснежный, малосніжний
сосредоточиться, зосередитися
породообразующий, породоутворюючий
вспомогательный, допоміжний
поджечь, підпалити
перепугать, перелякати
глубокоуважаемый, вельмишановний
автобиографический, автобіографічний
кинокомедия, кінокомедія
ортодонтический, ортодонтичний
аэрокосмический, аерокосмічний
мусоросборник, сміттєзбірник
многокомпонентный, багатокомпонентний
нормировать, нормувати
ненасытный, ненаситний
драматичность, драматичність
газохранилище, газосховище
корреспондентский, кореспондентський
опустошить, спустошити
дезертир, дезертир
штурмовик, штурмовик
самоцензура, самоцензура
напоминать, нагадувати
расписываться, розписуватися
пугливость, лякливість
всевозможный, всілякий
падчерица, падчерка
желчегонный, жовчогінний
аудиогарнитур, аудіогарнітур
фортепианный, фортепіанний
совестливый, совісний
круговорот, кругообіг
стереоскопический, стереоскопічний
газоносный, газоносний
сопровождать, супроводжувати
забетонировать, забетонувати
всесторонность, всебічність
проинспектировать, проінспектувати
гидроакустический, гідроакустичний
брезентовый, брезентовий
взаимодействовать, взаємодіяти
стимулятор, стимулятор
предохраняться, оберігатися
репрезентативный, репрезентативний
газифицировать, газифікувати
трехпалый, трипалий
кровоподтёк, синець
энциклопедизм, енциклопедизм
нормативность, нормативність
отшелушивать, відлущувати
отреставрировать, відреставрувати
заинтриговать, заінтригувати
беспорядочность, безладність
конкурентоспособный, конкурентоспроможний
жираф, жираф
архитектонический, архітектонічний
короткофокусный, короткофокусний
компрометировать, компрометувати
иммуномодулятор, імуномодулятор
плодоножка, плодоніжка
звукоизоляционный, звукоізоляційний
кореспондент, кореспондент
коррозийный, корозійний
структурироваться, структуруватися
видеооператор, відеооператор
поношенный, поношений
охладить, охолодити
шокировать, шокувати
просвечиваться, просвічуватися
антисоциалистический, антисоціалістичний
нефтетранспортный, нафтотранспортний
забинтовать, забинтувати
разозлить, розлютити
низкосортный, низькосортний
реструктурировать, реструктурувати
лесопилка, лісопилка
инсулинотерапия, інсулінотерапія
геоэкология, геоекологія
быстропротекающий, швидкопротікаючий
почвообрабатывающий, ґрунтообробний
веретенообразный, веретеноподібний
сосудосуживающий, судинозвужувальний
калейдоскопический, калейдоскопічний
черепаший, черепашачий
зернистый, зернистий
термозащитный, термозахисний
идеология, ідеологія
кинокомпания, кінокомпанія
пацифистский, пацифістський
переводческий, перекладацький
низкоквалифицировать, низькокваліфікувати
забронировать, забронювати
оболочка, оболонка
стабилизированный, стабілізований
водоотталкивающий, водовідштовхувальний
садистский, садистський
аудирование, аудіювання
регламентироваться, регламентуватися
конфигурация, конфігурація
покупать, купувати
зодиакальный, зодіакальний
таблоид, таблоїд
твердотопливный, твердопаливний
иконографический, іконографічний
автопутешествие, автоподорож
иррациональный, ірраціональний
стерилизовать, стерилізувати
водоэмульсионный, водоемульсійний
патентообладатель, власник патенту
инфраструктурный, інфраструктурний
читабельный, читабельний
накрахмалить, накрохмалити
гидроэнергетический, гідроенергетичний
дельфинариум, дельфінаріум
ультраструктура, ультраструктура
кардиологический, кардіологічний
глубокомысленный, глибокодумний
реформировать, реформувати
птицеводческий, птахівничий
анаэробный, анаеробний
утопический, утопічний
нефтекомпания, нафтокомпанія
отгородиться, відгородитися
пессимизм, песимізм
бомбардировочный, бомбардувальний
неосторожность, необережність
землеройный, землерийний
биполярный, біполярний
изматывать, вимотувати
доисторический, доісторичний
трубочный, трубковий
психотропный, психотропний
аристократичность, аристократичність
темноволосый, темноволосий
миниатюра, мініатюра
аудиосопровождение, аудіосупровід
свиноводческий, свинарський
пневмосистема, пневмосистема
апостроф, апостроф
шевелиться, ворушитися
разочароваться, розчаруватися
ревностный, ревний
иронический, іронічний
сгруппировать, згрупувати
уравновешивать, врівноважувати
турникет, турнікет
мусоропровод, сміттєпровід
рентабельный, рентабельний
трехстворчатый, тристулковий
воспламеняющийся, займистий
общешкольный, загальношкільний
корявый, корявий
пофотографироваться, пофотографуватися
узкоспециальный, вузькоспеціальний
пейзажист, пейзажист
телерадиоорганизация, телерадіоорганізація
русифицировать, русифікувати
адаптационный, адаптаційний
конъюнктурный, кон'юнктурний
фисташковый, фісташковий
биоактивный, біоактивний
конденсировать, конденсувати
волонтёрский, волонтерський
благовоспитанный, вихований
измерять, вимірювати
противотуберкулёзный, протитуберкульозний
антиколониальный, антиколоніальний
электрокардиостимулятор, електрокардіостимулятор
грузоперевозчик, вантажоперевізник
демобилизоваться, демобілізуватися
гипоаллергенный, гіпоалергенний
акробатический, акробатичний
байдарочный, байдарковий
бездоказательный, бездоказовий
фрагментация, фрагментація
беспринципный, безпринципний
аплодировать, аплодувати
ударостойкость, ударостійкість
мелиорация, меліорація
контрастировать, контрастувати
карантинный, карантинний
трансгендерный, трансгендерний
бойкотирование, бойкотування
текстурированный, текстурований
руководимый, керований
трансцендентальный, трансцендентальний
нейтрализатор, нейтралізатор
добропорядочный, добропорядний
неотвратимость, невідворотність
затонуть, затонути
номенклатурный, номенклатурний
жидкотопливный, рідкопаливний
самоликвидироваться, самоліквідуватися
сублимационный, сублімаційний
рекламирование, рекламування
обветрить, обвітрити
длиннохвостый, довгохвостий
дешифровка, дешифрування
медиакорпорация, медіакорпорація
газодобывающий, газодобувний
аудиосигнал, аудіосигнал
гармонический, гармонійний
иммунодефицитный, імунодефіцитний
чавканье, плямкання
сумрачный, похмурий
телескоп, телескоп
сколиоз, сколіоз
гербицид, гербіцид
полусферический, півсферичний
разнохарактерный, різнохарактерний
стеклодув, склодув
достопримечательный, визначний
сепаратист, сепаратист
эгоцентричный, егоцентричний
горноклиматический, горнокліматичний
противогрибковый, протигрибковий
сбрызгивать, збризкувати
электроремонтный, електроремонтний
затруднить, утруднити
аскетизм, аскетизм
функционировать, функціонувати
круговращение, колообіг
ароматный, ароматний
пошутить, пожартувати
аллергологический, алергологічний
застраховать, застрахувати
океанариум, океанаріум
эпиграф, епіграф
медитировать, медитувати
депозитарный, депозитарний
бензопила, бензопила
криптографический, криптографічний
бракосочетание, одруження
косоглазый, косоокий
познавательный, пізнавальний
чужеземный, чужоземний
медитация, медитація
охлаждать, охолоджувати
кинодокументалистика, кінодокументалістика
парадигматический, парадигматичний
патрулировать, патрулювати
общеэкономический, загальноекономічний
безгрешность, безгрішність
формочка, формочка
телеграфирование, телеграфування
расшифровать, розшифрувати
разочаровываться, розчаровуватися
суперсовременный, суперсучасний
маскирование, маскування
соление, соління
самосовершенствование, самовдосконалення
анализировать, аналізувати
антивозрастной, антивіковий
близкородственный, близькоспоріднений
смертоубийство, смертовбивство
надзиратель, наглядач
широколиственный, широколистий
рекультивационный, рекультиваційний
дифференцировать, диференціювати
теплоизолировать, теплоізолювати
вырубить, вирубити
обездолить, знедолити
гидрогеологический, гідрогеологічний
самоубийственный, самогубний
топливозаправочный, паливозаправний
перевооружиться, переозброїтись
саркастический, саркастичний
эргономический, ергономічний
моделирующий, моделюючий
потовыделение, потовиділення
гранулированный, гранульований
интернациональность, інтернаціональність
орнитолог, орнітолог
похрапывать, похропувати
безболезненный, безболісний
легкомоторный, легкомоторний
профессиональный, професійний
нейрохирургический, нейрохірургічний
аэрофобия, аерофобія
электроэнцефалография, електроенцефалографія
единокровный, єдинокровний
микрокристаллический, мікрокристалічний
похрустеть, похрумтіти
многопартийный, багатопартійний
латинизировать, латинізувати
редактировать, редагувати
перераспределить, перерозподілити
агглютинативный, аглютинативний
газоизмерительный, газовимірювальний
кардиоцентр, кардіоцентр
ужесточиться, посилитися
реорганизоваться, реорганізуватися
целлюлозный, целюлозний
увеселение, розвага
быстроходность, швидкохідність
бюджетополучатель, бюджетоотримувач
изыскивать, вишукувати
шумоизоляционный, шумоізоляційний
эпохальный, епохальний
самовлюблённость, самозакоханість
крупноплодный, великоплідний
нимфоманка, німфоманка
прооперировать, прооперувати
бесплодный, безплідний
величественный, величний
привязывание, прив'язування
провиниться, провинитися
наркоторговец, наркоторговець
органичный, органічний
загнить, загнити
высокоэкономичный, високоекономічний
субтропический, субтропічний
пуговица, гудзик
браковать, бракувати
симметричный, симетричний
соавторство, співавторство
углублённый, поглиблений
скачкообразный, стрибкоподібний
вычёркивание, викреслювання
вицепрезидент, віцепрезидент
подкожный, підшкірний
эпилептический, епілептичний
самоудовлетворение, самозадоволення
межпозвоночный, міжхребцевий
санскритский, санскритський
модернистский, модерністський
полутораметровый, півтораметровий
безглазый, безокий
шумопоглощение, шумопоглинання
награждать, нагороджувати
волеизъявление, волевиявлення
гарантироваться, гарантуватися
невербальный, невербальний
симулировать, симулювати
гримироваться, гримуватися
оскорблять, ображати
психотравмирующий, психотравмуючий
субарктический, субарктичний
беззеркальный, беззеркальний
агропромышленность, агропромисловість
ледоход, льодохід
урожайный, врожайний
видеоизображение, відеозображення
слабокислый, слабокислий
усовершенствовать, удосконалити
снарядить, спорядити
разбойный, розбійний
герметизировать, герметизувати
субантарктический, субантарктичний
резюмировать, резюмувати
утрировать, перебільшувати
алкоголизация, алкоголізація
гимнастический, гімнастичний
светочувствительный, світлочутливий
проконсультироваться, проконсультуватися
геостратегический, геостратегічний
картографировать, картографувати
ингаляция, інгаляція
конкретизировать, конкретизувати
фортификационный, фортифікаційний
рыжеволосый, рудоволосий
трансцендентный, трансцендентний
неопубликованный, неопублікований
мегапиксель, мегапіксель
шарообразный, кулястий
бочкообразный, бочкоподібний
здравомыслящий, розсудливий
трибунал, трибунал
гастроэнтерологический, гастроентерологічний
благоразумный, розсудливий
каучуковый, каучуковий
народонаселение, народонаселення
девитализация, девіталізація
высокоорганизованный, високоорганізований
узконаправленный, вузькоспрямований
астрометрический, астрометричний
фитотерапевт, фітотерапевт
разорять, розоряти
реакторный, реакторний
сироп, сироп
безъядерный, без'ядерний
каллиграфический, каліграфічний
топологический, топологічний
малонаселённый, малонаселений
суммировать, підсумовувати
громогласный, гучний
виноторговец, виноторговець
бесшёрстный, безшерстий
пуповинный, пуповинний
самоизлечение, самовилікування
водонасыщенный, водонасичений
влагозащитный, вологозахисний
полуфиналистка, півфіналістка
палеоантропология, палеоантропологія
режиссерский, режисерський
схематический, схематичний
дуализм, дуалізм
низкопробный, низькопробний
бенефициарный, бенефіціарний
словоупотребление, слововживання
озадачивать, спантеличувати
многодневный, багатоденний
полуторачасовой, півторагодинний
послеобеденный, післяобідній
дальновидный, далекоглядний
коррумпирование, корумпування
ингредиент, інгредієнт
дезорганизация, дезорганізація
трансформироваться, трансформуватися
термоэлемент, термоелемент
диалектологический, діалектологічний
углекислый, вуглекислий
интеллектуальный, інтелектуальний
смоделировать, змоделювати
бессвязность, незв'язність
газонаполнительный, газонаповнювальний
размножить, розмножити
трансконтинентальный, трансконтинентальний
деревообрабатывающий, деревообробний
схватываться, схоплюватися
грязноватый, бруднуватий
онкомаркер, онкомаркер
лимфоузел, лімфовузол
рассматриваться, розглядатися
минигольф, мінігольф
обвенчать, повінчати
педиатрический, педіатричний
высокочувствительный, високочутливий
высокоинтеллектуальный, високоінтелектуальний
молниеносность, блискавичність
равномерность, рівномірність
макулатура, макулатура
симметричность, симетричність
забраковать, забракувати
гипоталамус, гіпоталамус
бесхарактерность, безхарактерність
деидеологизация, деідеологізація
хлебозаготовка, хлібозаготівля
шланг, шланг
сокровищница, скарбниця
инверсионный, інверсійний
разоблачительный, викривальний
импортироваться, імпортуватися
пририсовать, домалювати
выделительный, видільний
шахтостроительный, шахтобудівний
вдумчивость, вдумливість
краткосрочность, короткостроковість
самоуправленческий, самоврядний
рафинированность, рафинированность
биоэнергетический, біоенергетичний
пластмасовый, пластмасової
анахроничный, анахронічний
сфокусироваться, сфокусуватися
быстроизнашивающийся, швидкозношуваний
добродетельный, доброчесний
бифидобактерия, біфідобактерій
уникальный, унікальний
аккомпанировать, акомпанувати
бортпроводник, бортпровідник
кормить, годувати
пиксельный, піксельний
этимологизация, етимологізація
обесценить, знецінити
соседствовать, сусідити
второсортность, другосортність
социализироваться, соціалізуватися
феминистский, феміністський
каннибализм, канібалізм
скоропортящийся, швидкопсувний
стимулироваться, стимулюватися
аневризм, аневризм
пистолетный, пістолетний
тромбофлебит, тромбофлебіт
благоуханный, запашний
товародвижение, товарорух
психофизиология, психофізіологія
покапризничать, покапризувати
лимфообращение, лімфообіг
кустарниковый, чагарниковий
вскрик, зойк
кружевной, мереживний
садистка, садистка
впечатлить, вразити
античеловеческий, антилюдський
порносайт, порносайт
хлебобулочный, хлібобулочний
нановолокно, нановолокно
кормоуборочный, кормозбиральний
многоклеточный, багатоклітинний
благоразумность, розсудливість
иглорефлексотерапия, голкорефлексотерапія
вышесказанный, вищесказаний
выбирать, вибирати
быстротечность, швидкоплинність
бомбоубежище, бомбосховище
астматический, астматичний
увеселительный, розважальний
причудливость, химерність
субтитр, субтитр
погрузиться, зануритися
комплектный, комплектний
колосовидный, колосовидний
воронкообразный, воронкоподібний
внутриутробный, внутрішньоутробний
вылупиться, вилупитися
иммигрировать, іммігрувати
потряхивать, трусити
госпитализироваться, госпіталізуватися
длинношёрстный, довгошерстий
амфетамин, амфетамін
стабилизационный, стабілізаційний
саркастичный, саркастичний
трудолюбивый, працьовитий
быстросохнущий, швидковисихаючий
созерцательный, споглядальний
панкреатический, панкреатичний
засохлый, засохлий
заколдованный, зачарований
гиперактивный, гіперактивний
утопичный, утопічний
детализировать, деталізувати
реаниматология, реаніматологія
некроз, некроз
земледелец, землероб
магнетический, магнетичний
переиздаваться, перевидаватися
консолидироваться, консолідуватися
лесостепной, лісостеповий
ультрамодный, ультрамодний
металлочерепица, металочерепиця
личиночный, личинковий
видоизменить, видозмінити
утолстить, потовстити
лабораторный, лабораторний
автолизинг, автолізинг
газораспределительный, газорозподільний
грейпфрутовый, грейпфрутовий
дактилоскопический, дактилоскопічний
синкретический, синкретичний
перпендикулярность, перпендикулярність
бутерброд, бутерброд
радиочастота, радіочастота
малограмотность, малограмотність
бетонированный, бетонований
метеорологический, метеорологічний
компрессор, компресор
сахароза, сахароза
мультиминерал, мультимінерал
пакетирование, пакетування
одурманивающий, одурманюючий
ожерелье, намисто
