радиоактивный, радіоактивний
наукоемкий, наукомісткий
качественный, якісний
победитель, переможець
крестьянский, селянський
выбирать, вибирати
подтопление, підтоплення
обслуживать, обслуговувати
референдум, референдум
гармонизация, гармонізація
музыкальный, музичний
изделие, виріб
публичный, публічний
несколько, кілька
активный, активний
общежитие, гуртожиток
столбцы, стовпці
пятнадцать, п'ятнадцять
алкогольный, алкогольний
состояние, стан
посольство, посольство
эпидемиологический, епідеміологічний
успешно, успішно
принимать, приймати
часть, частина
выездной, виїзний
лицензирование, ліцензування
отражать, відображати
охотник, мисливець
предназначение, призначення
приложить, докласти
конвенция, конвенція
дыхательный, дихальний
оперативный, оперативний
являться, бути
патентный, патентний
выходной, вихідний
тренер, тренер
авиационный, авіаційний
высвобождение, вивільнення
празднование, святкування
уменьшаться, зменшуватися
риск, ризик
экскаватор, екскаватор
присяжный, присяжний
антинаркотический, антинаркотичний
пятьдесят, п'ятдесят
технологически, технологічно
указание, вказівка
отгрузить, відвантажити
преобразование, перетворення
обязательство, зобов'язання
действительный, дійсний
оперативность, оперативність
рыночный, ринковий
дочерний, дочірній
учётный, обліковий
интенсивность, інтенсивність
обстоятельство, обставина
опасный, небезпечний
полномочие, повноваження
грязь, бруд
проявление, прояв
ухудшение, погіршення
скидка, знижка
вступление, вступ
нефинансовый, нефінансовий
печь, піч
стадия, стадія
выборный, виборний
акция, акція
опера, опера
пруд, ставок
машинный, машинний
дворовый, дворовий
отработка, відпрацювання
диплом, диплом
мигрант, мігрант
сообщество, співтовариство
сборка, збірка
самоходный, самохідний
освободиться, звільнитися
составить, скласти
приспособление, пристосування
призовой, призовий
исключать, виключати
мера, міра
спортивный, спортивний
включение, включення
выделение, виділення
раздельно, роздільно
резерв, резерв
акцизный, акцизний
переименование, перейменування
привод, привід
лёгкий, легкий
раскрытие, розкриття
чистый, чистий
мастерский, майстерний
пригодность, придатність
образец, зразок
свобода, свобода
запрос, запит
личностный, особистісний
многофункциональный, багатофункціональний
нежилой, нежитловий
прогнозирование, прогнозування
содержаться, міститися
разместить, розмістити
мебель, меблі
плательщик, платник
необходимый, необхідний
выборка, вибірка
оказать, надати
противовоздушный, протиповітряний
психологический, психологічний
предварительный, попередній
жена, дружина
отправитель, відправник
построить, побудувати
пунк, пунк
экспериментальный, експериментальний
последний, останній
предъявляться, пред'являтися
претендент, претендент
навигационный, навігаційний
тип, тип
исчезновение, зникнення
сборный, збірний
надёжность, надійність
острый, гострий
вовлечение, залучення
послужить, послужити
вперёд, вперед
запуск, запуск
формировать, формувати
переходный, перехідний
персональный, персональний
резервуар, резервуар
обоснованный, обґрунтований
точка, точка
происходить, відбуватися
почти, майже
служить, служити
энергетический, енергетичний
доработка, доробка
надлежащий, належний
строго, строго
мука, мука
внешний, зовнішній
подаваться, подаватися
землеустройство, землевпорядкування
сетка, сітка
район, район
зачисляться, зараховуватися
масштаб, масштаб
градостроительный, містобудівна
создаваться, створюватися
один, один
трехдневный, триденний
справа, справа
ведомство, відомство
исправный, справний
культурный, культурний
посуда, посуд
ипотека, іпотека
выступление, виступ
взрывопожароопасный, вибухопожежонебезпечний
квалификационный, кваліфікаційний
ношение, носіння
обычный, звичайний
дополнение, доповнення
непрерывно, безперервно
экземпляр, екземпляр
накопительный, накопичувальний
плани, плани
полно, повно
высота, висота
поворот, поворот
неустойка, неустойка
майский, травневий
инвестирование, інвестування
храниться, зберігатися
экологический, екологічний
междугородный, міжміський
преподаватель, викладач
применять, застосовувати
воинский, військовий
кризисный, кризовий
вносить, вносити
принадлежащий, що належить
проголосовать, проголосувати
чувствительность, чутливість
межправительственный, міжурядовий
противоречить, суперечити
узел, вузол
цветок, квітка
передать, передати
микроорганизм, мікроорганізм
корпус, корпус
полугодие, півріччя
коэффициент, коефіцієнт
контрольный, контрольний
опытный, досвідчений
одиннадцать, одинадцять
арктический, арктичний
холодный, холодний
участвовать, брати участь
психология, психологія
месторождение, родовище
животный, тваринний
уточнить, уточнити
выполнить, виконати
заблаговременно, завчасно
безопасно, безпечно
начало, початок
изображение, зображення
пересекать, перетинати
ввозить, ввозити
обучение, навчання
тарифный, тарифний
слух, слух
малоимущий, незаможний
резолюция, резолюція
преподавательский, викладацький
приготовление, приготування
химический, хімічний
допустить, допустити
опережать, випереджати
наибольший, найбільший
архивный, архівний
вирус, вірус
входить, входити
посев, посів
производительность, продуктивність
лист, лист
точность, точність
подписывать, підписувати
выброс, викид
бассейн, басейн
партнерство, партнерство
проявить, проявити
реконструировать, реконструювати
обобщение, узагальнення
истечение, витікання
сосна, сосна
закупать, закуповувати
пропускной, пропускної
валютный, валютний
начислить, нарахувати
кирпичный, цегляний
первоочередной, першочерговий
монитор, монітор
явление, явище
доза, доза
почтовый, поштовий
универсальный, універсальний
периодически, періодично
теоретический, теоретичний
взаимосвязанный, взаємопов'язаний
экстремизм, екстремізм
отклонение, відхилення
изготовитель, виробник
распределяться, розподілятися
дорожный, дорожній
протез, протез
передвижной, пересувний
проставляться, проставлятися
пищевой, харчовий
дорогой, дорогий
командировка, відрядження
пальто, пальто
консультативный, консультативний
всемирный, всесвітній
питьевой, питний
полномочный, повноважний
белый, білий
основа, основа
гарантировать, гарантувати
обрабатывать, обробляти
избранный, обраний
революция, революція
критерий, критерій
статья, стаття
усилие, зусилля
процесс, процес
пространство, простір
лёгкое, легке
виноград, виноград
покупатель, покупець
удостоверение, посвідчення
телефонный, телефонний
распорядительный, розпорядчий
среднедушевой, середньодушовий
наблюдаться, спостерігатися
вертолёт, гвинтокрил
представительство, представництво
верно, вірно
несовершеннолетний, неповнолітній
выработка, вироблення
неработающий, непрацюючий
огонь, вогонь
судимость, судимість
пластик, пластик
кальций, кальцій
лишение, позбавлення
семь, сім
ёмкость, ємність
квитанция, квитанція
продолжать, продовжити
структура, структура
причинять, заподіювати
аппаратчик, апаратник
обучающийся, який навчається
туристический, туристичний
преступление, злочин
изолятор, ізолятор
прежний, колишній
антимонопольный, антимонопольний
нормирование, нормування
объём, обсяг
упаковка, упаковка
частичный, частковий
художник, художник
двусторонний, двосторонній
совещательный, дорадчий
импортный, імпортний
миссия, місія
энергоресурсы, енергоресурси
самолёт, літак
эффективный, ефективний
аппарат, апарат
дипломатический, дипломатичний
инновационный, інноваційний
открытый, відкритий
должность, посаду
радионуклид, радіонуклід
вопрос, питання
комплектность, комплектність
мастер, майстер
наложение, накладення
присвоить, привласнити
рыба, риба
оцифровка, оцифровка
пенсия, пенсія
привлечь, залучити
ввиду, з огляду на
изобразительный, образотворчий
прибрежный, прибережний
организм, організм
психический, психічний
производственный, виробничий
пиво, пиво
сессия, сесія
приводить, приводити
конструктор, конструктор
обследование, обстеження
жизненный, життєвий
отопление, опалення
администратор, адміністратор
адаптация, адаптація
норматив, норматив
беспошлинно, безмитно
секция, секція
верхний, верхній
спасатель, рятувальник
размещаться, розміщуватися
терроризм, тероризм
континентальный, континентальний
населить, населити
стимулировать, стимулювати
цена, ціна
возвращение, повернення
идентификационный, ідентифікаційний
прямой, прямий
воля, воля
вещий, віщий
запретить, заборонити
молодёжь, молодь
положение, становище
регламентировать, регламентувати
знание, знання
канализационный, каналізаційний
учесть, врахувати
цех, цех
возражение, заперечення
закон, закон
расселять, розселяти
поисковый, пошуковий
техникум, технікум
курортный, курортний
адресный, адресний
добровольный, добровільний
стационарный, стаціонарний
автор, автор
сложный, складний
эпидемиология, епідеміологія
выезжать, виїжджати
волокно, волокно
итоговый, підсумковий
опора, опора
паспортизация, паспортизація
археологический, археологічний
террористический, терористичний
пересечение, перетин
электронный, електронний
кран, кран
осуществляться, здійснюватися
рассмотрение, розгляд
независимость, незалежність
подчинение, підпорядкування
замещать, заміщати
сброс, скидання
глубокий, глибокий
тест, тест
хозяйствовать, господарювати
краткий, короткий
винодельческий, виноробний
высокий, високий
выставочный, виставковий
адвокатский, адвокатський
нефтепродукт, нафтопродукт
представить, уявити
дерево, дерево
вступительный, вступний
подкарантинный, підкарантинний
временной, тимчасовий
период, період
дисциплинарный, дисциплінарний
многие, багато
предусматривать, передбачати
оплачиваться, оплачуватися
домовладение, домоволодіння
таможня, митниця
прочтение, прочитання
событие, подія
следователь, слідчий
факт, факт
прошедший, минулий
обособленный, відокремлений
союз, союз
конкурс, конкурс
курорт, курорт
хронический, хронічний
опасность, небезпека
общедоступный, загальнодоступний
инвестиционный, інвестиційний
условный, умовний
взимание, стягування
существенный, істотний
заболеваемость, захворюваність
статистика, статистика
соглашение, угода
верховный, верховний
цепь, ланцюг
насос, насос
консультирование, консультування
приостановить, призупинити
квалифицировать, кваліфікувати
перевозочный, перевізний
длина, довжина
ситуация, ситуація
прогнозировать, прогнозувати
занятый, зайнятий
маркировка, маркування
нормальный, нормальний
единственный, єдиний
межрегиональный, міжрегіональний
форменный, формений
файл, файл
напиток, напій
проезд, проїзд
панельный, панельний
металлургический, металургійний
ключ, ключ
подверженный, схильний до
глухой, глухий
признак, ознака
продлеваться, продовжуватися
специализировать, спеціалізувати
входящая, що входить
предстоящий, майбутній
волонтёр, волонтер
заявление, заява
изложение, виклад
образовательный, освітний
несвоевременный, несвоєчасний
опубликовать, опублікувати
следственный, слідчий
увольнение, звільнення
домашний, домашній
перерасчёт, перерахунок
накладный, накладний
приёмный, приймальний
свойство, властивість
поэтапный, поетапний
работать, працювати
целесообразный, доцільний
контролёр, контролер
компьютерный, комп'ютерний
актуализировать, актуалізувати
покрыть, покрити
живой, живий
база, база
самовольно, самовільно
прямой, прямий
